age,N_CHO
10대 중반,326.61
10대 초반,313.92
10대 후반,326.64
10세 미만,233.06
20대 중반,295.27
20대 초반,298.6
20대 후반,301.73
30대 중반,308.42
30대 초반,308.29
30대 후반,314.22
40대 중반,310.27
40대 초반,326.69
40대 후반,313.82
50대 중반,318.87
50대 초반,314.92
50대 후반,318.71
60대 중반,316.17
60대 초반,313.83
60대 후반,313.43
70대 중반,290.43
70대 초반,312.27
70대 후반,297.24
80세 이상,257.91
