age,BP8
10대 중반,7.24
10대 초반,8.25
10대 후반,6.82
10세 미만,0.0
20대 중반,7.16
20대 초반,7.37
20대 후반,7.15
30대 중반,7.08
30대 초반,7.09
30대 후반,6.9
40대 중반,6.94
40대 초반,6.8
40대 후반,6.84
50대 중반,6.76
50대 초반,6.95
50대 후반,6.58
60대 중반,6.76
60대 초반,6.87
60대 후반,6.6
70대 중반,6.31
70대 초반,6.39
70대 후반,6.8
80세 이상,7.03
