age,N_DUSUAL_2
10대 중반,52
10대 초반,32
10대 후반,42
10세 미만,145
20대 중반,69
20대 초반,34
20대 후반,32
30대 중반,58
30대 초반,24
30대 후반,35
40대 중반,45
40대 초반,40
40대 후반,22
50대 중반,35
50대 초반,33
50대 후반,22
60대 중반,21
60대 초반,40
60대 후반,22
70대 중반,22
70대 초반,18
70대 후반,17
80세 이상,34
