age,N_PROT
10대 중반,68.47
10대 초반,65.56
10대 후반,65.35
10세 미만,46.34
20대 중반,76.67
20대 초반,69.43
20대 후반,75.36
30대 중반,74.48
30대 초반,74.25
30대 후반,71.77
40대 중반,67.75
40대 초반,74.2
40대 후반,67.71
50대 중반,63.07
50대 초반,65.87
50대 후반,67.68
60대 중반,61.5
60대 초반,60.85
60대 후반,54.98
70대 중반,47.9
70대 초반,49.31
70대 후반,45.97
80세 이상,39.88
