age,N_VA
10대 중반,537.47
10대 초반,493.04
10대 후반,506.06
10세 미만,430.46
20대 중반,555.94
20대 초반,570.29
20대 후반,522.68
30대 중반,641.96
30대 초반,563.35
30대 후반,599.81
40대 중반,601.72
40대 초반,724.87
40대 후반,646.14
50대 중반,657.26
50대 초반,698.57
50대 후반,627.19
60대 중반,683.35
60대 초반,627.05
60대 후반,578.75
70대 중반,489.13
70대 초반,518.1
70대 후반,468.26
80세 이상,391.9
