age,N_DUSUAL_1
10대 중반,61
10대 초반,51
10대 후반,30
10세 미만,90
20대 중반,68
20대 초반,44
20대 후반,47
30대 중반,104
30대 초반,58
30대 후반,73
40대 중반,116
40대 초반,64
40대 후반,59
50대 중반,75
50대 초반,61
50대 후반,51
60대 중반,64
60대 초반,41
60대 후반,34
70대 중반,23
70대 초반,36
70대 후반,14
80세 이상,18
