age,E_Q_SUN
10대 중반,0
10대 초반,0
10대 후반,20
10세 미만,0
20대 중반,55
20대 초반,46
20대 후반,43
30대 중반,60
30대 초반,55
30대 후반,66
40대 중반,77
40대 초반,63
40대 후반,61
50대 중반,98
50대 초반,75
50대 후반,74
60대 중반,121
60대 초반,70
60대 후반,68
70대 중반,76
70대 초반,72
70대 후반,48
80세 이상,38
